Thread,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
thread_179.txt,0,0.7885856942349222,0,0,0,0.095331004962496996,0,0,0.098582311054840194,0
thread_18.txt,0.19664526779338204,0,0,0.15763588177825991,0,0.58207622713075968,0,0,0,0
thread_180.txt,0,0.20029494118565505,0,0.24643930571502637,0,0.19414037363249001,0,0,0.33690179500198975,0
thread_181.txt,0,0.85842399802429525,0,0,0,0,0,0.10520516275571097,0,0
thread_182.txt,0.16393897590154272,0.65269226692683779,0,0,0,0,0,0.16149091503147267,0,0
thread_183.txt,0,0.63445917643359984,0,0,0,0,0,0,0.31220130962284387,0
thread_184.txt,0,0.92709612777964034,0,0.039566345643163851,0,0,0,0,0,0
thread_185.txt,0.014286004358183767,0.014289418569244152,0.014285719089399988,0.72075699148770289,0.014285718630459387,0.014291958454548106,0.014285719079321666,0.014286440583678147,0.16494621446579963,0.014285815281662229
thread_186.txt,0.012500002224835501,0.73017937952349066,0.012500003838772724,0.012501739414670534,0.012500003455506274,0.012511806510117695,0.012500003812334067,0.16979514477220978,0.012511692764934535,0.012500223683128144
thread_187.txt,0,0.19929829065330032,0,0.75624905161817135,0,0,0,0,0,0
thread_188.txt,0.15594906642217504,0,0,0.67771692053093713,0,0,0,0.14445680427493254,0,0
thread_189.txt,0.012500487013066866,0.53429274089075951,0.012500002912994954,0.012504302669828082,0.012500004278347236,0.012502152169918861,0.012500002906118836,0.012500521727804539,0.36569971891140085,0.012500066519760399
thread_19.txt,0.16674781928978741,0.72104109258219196,0,0,0,0,0,0,0.071030718261483689,0
thread_190.txt,0,0.95713721420571163,0,0,0,0,0,0,0,0
thread_191.txt,0,0.94999274195064742,0,0,0,0,0,0,0,0
thread_192.txt,0,0.40620371912089315,0,0.57779511725090382,0,0,0,0,0,0
thread_193.txt,0,0.67047445091845526,0,0.12923606875992996,0,0.15653463678856799,0,0,0,0
thread_194.txt,0,0.37302082115884133,0,0.38003812879957727,0,0.2326531925096646,0,0,0,0
thread_195.txt,0,0.3801452833471618,0,0,0,0,0,0.058134648835598733,0.52989744855569554,0
thread_196.txt,0,0.8293879616534281,0,0.074698453977567039,0,0,0,0.080001831695828335,0,0
thread_197.txt,0,0.81943183251304375,0,0,0,0,0,0.091156741789776591,0.064408683846711196,0
thread_198.txt,0,0.74649332960534442,0,0,0,0,0,0.099893039840105474,0.12561088245697116,0
thread_199.txt,0,0.93570515155590905,0,0,0,0,0,0,0,0
thread_2.txt,0.16459634631704173,0.15209523717192713,0,0.35316252178574953,0,0.12585321469687577,0,0.034346549714257192,0.16494612309405871,0
thread_20.txt,0,0.74056273602724076,0,0,0,0,0,0.08337387235682199,0.12605773712652482,0
thread_200.txt,0,0.78211683930102638,0,0.19736684332850807,0,0,0,0,0,0
thread_201.txt,0.11732046931668633,0.55992141224570535,0,0.10340516253131256,0,0.20951491012838486,0,0,0,0
thread_202.txt,0,0,0,0.56322672339489921,0,0,0,0.25780602113483914,0.13521511409282441,0
thread_203.txt,0.011115535780795252,0.36292067516302112,0.011111115619119124,0.011114921397265167,0.011111115197199839,0.11898313978801715,0.011111115619218506,0.011115721989385279,0.44030552603176171,0.011111133414216731
thread_204.txt,0.08762287447370623,0.1363237532065171,0,0.4821561795008375,0,0.26231661722461114,0,0,0,0
thread_205.txt,0,0.62378631100448734,0,0.32914590469747634,0,0,0,0,0,0
thread_206.txt,0.020000002413187858,0.23700124970521474,0.02000000415551758,0.020001528396495178,0.020000003754806577,0.60299010205349934,0.020000004142550952,0.020000605847881273,0.02000637740930231,0.020000122121544138
thread_207.txt,0,0.21976767265573657,0,0.72307417893742543,0,0,0,0,0,0
thread_208.txt,0,0.38061201803456862,0,0.15294283332648867,0,0.24267568539141615,0,0,0.19876904847288623,0
thread_209.txt,0,0.4097319862451213,0,0.55548078645686094,0,0,0,0,0,0
thread_21.txt,0,0.483511381314081,0,0,0,0.48448642203097042,0,0,0,0
thread_210.txt,0.15133992245763203,0,0,0.39711661163650158,0,0.38790282139465104,0,0,0,0
thread_211.txt,0.050000000298453716,0.050001337367825194,0.050000000548221693,0.050001195308876818,0.050000000439980569,0.05001012383627329,0.050000000485471104,0.050001187771833114,0.5499856663847883,0.050000487558276373
thread_212.txt,0,0.54267403673479764,0,0,0,0.21457791790562095,0,0.20941071025019264,0,0
thread_213.txt,0.050000000298273263,0.050001336559632181,0.050000000547890229,0.050001194580304553,0.050000000439714545,0.050009698930996792,0.050000000485177575,0.050001187048218411,0.54998609384739006,0.050000487262402582
thread_214.txt,0.10638139689849628,0.45271445349466199,0,0,0,0.14806961060588922,0,0.10580766542644174,0.16528689115107439,0
thread_215.txt,0,0.29528773035926204,0,0.58697322149539111,0,0,0,0.096524490680328326,0,0
thread_216.txt,0,0.41916670135291617,0,0.54604701198373229,0,0,0,0,0,0
thread_217.txt,0.08632665750163139,0.63815966997085827,0,0.24958514218916306,0,0,0,0,0,0
thread_218.txt,0.12044462618998958,0,0,0.55235455103601439,0,0,0,0,0.2834434991791705,0
thread_219.txt,0,0.67794008987502685,0,0.30154359176653284,0,0,0,0,0,0
thread_22.txt,0,0.58795383652163746,0,0.1878574845755763,0,0,0,0.062150709450118795,0.12453698411989929,0
thread_220.txt,0,0.59591679865998404,0,0.27751462439483637,0,0.10764889562644718,0,0,0,0
thread_221.txt,0.20239291641156479,0.33949986691348355,0,0.25452339298275217,0,0,0,0,0.18135921186090723,0
thread_222.txt,0.01428610930293692,0.69729988054859748,0.014285715825573558,0.0142893386892605,0.014285717027354804,0.014288617132356334,0.014285715814579965,0.014286634769179967,0.18840646882299922,0.014285802067161393
thread_223.txt,0.16202645692772277,0.01667124430234591,0.016666676407243078,0.36214490715086473,0.016666675486443305,0.016669551252361872,0.016666676396954728,0.016667003641763378,0.35915401302179323,0.016666795412506982
thread_224.txt,0,0.42452039881551495,0,0.098288627330710351,0,0.43176837937050461,0,0.027238872949330084,0,0
thread_225.txt,0,0.77621674009783204,0,0,0,0,0,0.1904445057480515,0,0
thread_226.txt,0,0.72950926191579524,0,0,0,0.12201186698176004,0,0.042602060700577725,0.097768030837224518,0
thread_227.txt,0,0.48173457970019778,0,0.35083258846045928,0,0.14150470632123144,0,0,0,0
thread_228.txt,0.033333334394815527,0.033334250169611467,0.033333335181361202,0.033334880306787606,0.033333334970098334,0.033339713676621842,0.033333335139381956,0.38613769895370176,0.34718644828551737,0.033333668922102849
thread_229.txt,0,0,0,0.27549154901056488,0,0,0,0.058278419446500675,0.64994891758185047,0
thread_23.txt,0,0.25872494214828379,0,0.3324329965353508,0,0.39089251151086718,0,0,0,0
thread_230.txt,0.18565119849684872,0,0,0.42901255041673286,0,0,0,0.079199679799450681,0.25158668806820494,0
thread_231.txt,0.025000006089912246,0.50621719272566745,0.02500001047806243,0.025000480518132549,0.025000009479715965,0.02500373956374001,0.025000010458792844,0.025000481669891852,0.29377786370794712,0.025000205308137659
thread_232.txt,0.010000073634785325,0.90997839074441045,0.010000002089538071,0.010001935720524512,0.010000010151830007,0.010006121894592102,0.010000002073921514,0.010006156303838347,0.010007178135272332,0.010000129251287532
thread_233.txt,0,0.63991647885814007,0,0,0,0,0,0.061925182283359928,0.26482315205936297,0
thread_234.txt,0,0.4902213012568401,0,0,0,0.42645075067103289,0,0.051505925596562287,0,0
thread_235.txt,0,0.64327654720339467,0,0.1573363332989057,0,0.17938574131758317,0,0,0,0
thread_236.txt,0.12056376076628908,0.78678790528138842,0,0,0,0,0,0,0.07264670662146791,0
thread_237.txt,0,0.96399449181792873,0,0,0,0,0,0,0,0
thread_238.txt,0,0.55872075645937025,0,0.34377074456715784,0,0.078587110399351207,0,0,0,0
thread_239.txt,0,0.43947448450484183,0,0.53628062108319841,0,0,0,0,0,0
thread_24.txt,0.1753903170392225,0.75689163505197432,0,0.018688079289838452,0,0.044070981040880537,0,0,0,0
thread_240.txt,0,0.46778292355188078,0,0.2706115192650409,0,0.089317515157006366,0,0.15463995507055919,0,0
thread_241.txt,0,0.96896156183285742,0,0,0,0,0,0,0,0
thread_242.txt,0.085544163756199706,0.13537194438416367,0,0,0,0.034501596272837415,0,0,0.71849383056975702,0
thread_243.txt,0,0.53288957241867219,0,0,0,0.26557748172138712,0,0.17460692850359263,0,0
thread_244.txt,0.01250557428652452,0.37072542399274061,0.012500004563197532,0.012500563703395778,0.012500004107624446,0.012500530802104823,0.012500004531803355,0.14636853914152717,0.39539923704766139,0.012500117823420375
thread_245.txt,0,0.51244059139598974,0,0,0,0.45678789773456957,0,0,0,0
thread_246.txt,0.19499349896318993,0.42730410013620407,0,0.22698236920187556,0,0.14312475898398458,0,0,0,0
thread_247.txt,0,0.26417415848591247,0,0.43995616626745199,0,0,0,0.10978253131957125,0.1507898573979975,0
thread_248.txt,0,0.56403238999144756,0,0.3045473215413167,0,0.043017608064181617,0,0,0.077081315718279808,0
thread_249.txt,0.17004360419963582,0.70102192170204569,0,0,0,0,0,0,0.10772077278809661,0
thread_25.txt,0,0.72005481416092931,0,0,0,0,0,0.22660304823305513,0,0
thread_250.txt,0.025000001082843566,0.025006438329003993,0.025000001824536142,0.025000988135885947,0.025000001647462751,0.025005077946900968,0.025000001817109201,0.025000472312687341,0.77498695436240594,0.025000062541164256
thread_251.txt,0.012500223007620524,0.012504447490903136,0.012500002424188092,0.88747520704384286,0.012500002546042686,0.012506975601059643,0.012500002395753031,0.012500973106078755,0.012511934981031101,0.012500231403480205
thread_252.txt,0.20118248565652225,0.13035712413611258,0,0.41919911783587105,0,0,0,0,0.21925992359303534,0
thread_253.txt,0,0.33705940385440475,0,0.59019911830186356,0,0,0,0,0,0
thread_254.txt,0.20109996328680213,0.13073800528748092,0,0.41941940257763122,0,0,0,0,0.21874127953289829,0
thread_255.txt,0,0.11713085514684309,0,0.85209467618320123,0,0,0,0,0,0
thread_256.txt,0,0.83630992778027735,0,0,0,0.12158027981260584,0,0,0,0
thread_257.txt,0,0.56554177758735269,0,0,0,0.085841414619088327,0,0,0.30972373862926972,0
thread_258.txt,0.20912442279069871,0.37598521585725453,0,0,0,0.36103954490243717,0,0,0,0
thread_259.txt,0.25545292869908426,0.61317886107907138,0,0,0,0,0,0,0.096365311740327281,0
thread_26.txt,0.010000409079370115,0.90998349237078613,0.0100000007245508,0.01000225361450555,0.010000014891556325,0.010003118500367957,0.010000000706852296,0.010001220860721459,0.010009359998699029,0.010000129252590086
thread_260.txt,0,0.64773880077172585,0,0.31225461966778095,0,0,0,0,0,0
thread_261.txt,0,0.46683689565742281,0,0.29250000850088981,0,0.1788622253628917,0,0.0460091526325083,0,0
thread_262.txt,0,0.66211967547988027,0,0.24153710711379664,0,0,0,0.08288051876643289,0,0
thread_263.txt,0.19877626226176759,0,0,0.76643491118225926,0,0,0,0,0,0
thread_264.txt,0,0.4199711661273936,0,0.11495397596629917,0,0.36694950151199068,0,0.090230272959317556,0,0
thread_265.txt,0,0,0,0.7539322744471838,0,0,0,0,0.20161774575128802,0
thread_266.txt,0,0.44448931542567499,0,0,0,0.51550492225648736,0,0,0,0
thread_267.txt,0,0.6338319092504181,0,0,0,0.16704096995293299,0,0.1802064406734081,0,0
thread_268.txt,0,0.084798482289574637,0,0.76905380749039209,0,0.12772317959481763,0,0,0,0
thread_269.txt,0.16542974462071358,0.1866383589477057,0,0.36347236159407847,0,0.16895291529152079,0,0,0.10550584499412755,0
thread_27.txt,0,0,0,0.5677478997824098,0,0,0,0.13412666902629103,0.26312112263852844,0
thread_270.txt,0,0.44996702441514685,0,0,0,0.4772969111001053,0,0,0,0
thread_271.txt,0.15858206699878061,0.24192484965116887,0,0.54415065836714915,0,0,0,0,0.047549796999065301,0
thread_272.txt,0,0.63824548908936518,0,0.35211485684060129,0,0,0,0,0,0
thread_273.txt,0,0.88153379018040789,0,0,0,0,0,0,0.096242220868370837,0
thread_274.txt,0,0.6323646677387077,0,0.21164701364207525,0,0,0,0,0.11914525128025122,0
thread_275.txt,0,0.35957542781820578,0,0.40274971860017778,0,0,0,0,0.22471077297395994,0
thread_276.txt,0,0.32483847201706345,0,0.23839054749075023,0,0.26458320785491152,0,0.16701498596764103,0,0
thread_277.txt,0,0.72340062975345287,0,0.16481015318129213,0,0.092340563278586585,0,0,0,0
thread_278.txt,0.065465818492133385,0.66735040267465884,0,0.22115131346224748,0,0,0,0,0.037698158214843021,0
thread_279.txt,0,0.81677242565952213,0,0.17091725102603733,0,0,0,0,0,0
thread_28.txt,0,0,0,0.74964409462937842,0,0.2155694931400762,0,0,0,0
