Document,Topic_id,Weight
CVE-2007-2404,1,0.33976610050199585
CVE-2007-2404,3,0.63598796029517501
CVE-2007-2291,3,0.89019077075754427
CVE-2007-2291,7,0.067699935707985923
CVE-2007-2047,1,0.97096468867119046
CVE-2007-2046,1,0.97906731710486539
CVE-2007-1608,1,0.47314034396386878
CVE-2007-1608,3,0.49927079521491663
CVE-2007-0892,1,0.96399526754970721
CVE-2007-0047,1,0.50102330903390835
CVE-2007-0047,3,0.47230671444128447
CVE-2006-6965,1,0.18830108895380906
CVE-2006-6965,3,0.78588735335596227
CVE-2006-6699,1,0.97096343137073049
CVE-2006-6697,1,0.96666304456518637
CVE-2006-6374,3,0.54754774484892177
CVE-2006-6374,8,0.42891707144494523
CVE-2006-5566,3,0.62471751945338883
CVE-2006-5566,8,0.34768735428145886
CVE-2006-4505,1,0.96086541569937323
CVE-2006-3105,1,0.96249532070162858
CVE-2006-3016,1,0.051847316983341968
CVE-2006-3016,5,0.88616565773545997
CVE-2006-3016,7,0.03865210082143556
CVE-2006-0207,3,0.59196315392578436
CVE-2006-0207,5,0.27771689214189865
CVE-2006-0207,7,0.10339517573804277
CVE-2005-4830,1,0.96399638641054031
CVE-2005-4579,3,0.89959069949918324
CVE-2005-4579,7,0.06230915851856289
CVE-2005-4521,1,0.96249397673405213
CVE-2005-3982,1,0.96086466832179762
CVE-2005-3791,1,0.95499544522557955
CVE-2005-3633,1,0.95499281252015944
CVE-2005-3621,1,0.94705150352552414
CVE-2005-3348,1,0.12537372313167025
CVE-2005-3348,8,0.84262138464980763
CVE-2005-2065,1,0.24994581396029045
CVE-2005-2065,8,0.71004816287377048
CVE-2005-2060,5,0.25598272103166608
CVE-2005-2060,8,0.71200911020690094
CVE-2005-1951,5,0.54452202062958521
CVE-2005-1951,7,0.031167569235600909
CVE-2005-1951,8,0.40097550533074161
CVE-2005-1405,7,0.061577708035839923
CVE-2005-1405,8,0.89135845516742973
CVE-2005-1180,1,0.17907527417215935
CVE-2005-1180,8,0.78455546403550902
CVE-2005-0843,1,0.94999436624637079
CVE-2005-0175,3,0.59996882077800062
CVE-2005-0175,7,0.1015831069861993
CVE-2005-0175,8,0.24459485133647174
CVE-2004-2512,1,0.36599748917979846
CVE-2004-2512,8,0.60322961994668711
CVE-2004-2208,1,0.28714512296871847
CVE-2004-2208,3,0.66578684583794567
CVE-2004-2146,3,0.89026169977465675
CVE-2004-2146,7,0.067628362163437344
CVE-2004-2054,1,0.58172921998815541
CVE-2004-2054,5,0.38626683038143661
CVE-2004-1687,1,0.95908606685235287
CVE-2004-1656,1,0.9571379451946378
CVE-2004-1620,1,0.50346951288266062
CVE-2004-1620,5,0.46795563435504667
CVE-2004-1584,1,0.95713793615110887
CVE-2004-1564,1,0.95713762175947181
CVE-2004-1516,1,0.95908443053627535
CVE-2004-1507,1,0.9624953653026348
CVE-2004-1470,1,0.9526262453884613
CVE-2003-1338,1,0.96666212144863173
